Country Name;Country Code;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Albania;ALB;33840534295,42;35112520544,85;37368669301,97;39259416336,60;42219281243,08;41182550727,60;45343111967,18;54011348459,47;58378809433,54;63760906790,78
Nicaragua;NIC;33507510695,45;36662825386,15;39320729869,79;37985543205,76;38779457707,51;41191106018,32;47305035692,44;52476847102,53;56772319876,14;60231278859,83
Madagascar;MDG;38053900319,12;40755587226,83;41438402026,52;42523532549,94;45498322775,56;43150154155,61;46835678113,56;52260133350,51;56416214294,22;60207191110,53
Chad;TCD;34824885498,16;32044391367,17;32763179281,54;35993735511,69;39237861358,96;37652981933,49;43413141699,66;52506266944,34;56635362494,07;60124620441,28
Mozambique;MOZ;34986722839,81;37700803807,92;36130431041,87;38466735958,20;41503339393,06;43454882038,81;46205728911,29;51660358771,45;56429069635,00;58863787008,29
Kyrgyz Republic;KGZ;25086544783,75;28429771863,07;31241590663,09;30789434119,89;34955978964,94;34834094213,25;39301901464,03;45879594489,23;51814586970,37;57864889798,00
Cyprus;CYP;27066559062,76;30552082853,67;33018000534,59;35607200077,20;39790089303,17;38671633329,12;43920515191,98;51058053141,57;53034544401,93;57562280958,79
Tajikistan;TJK;25719495030,48;25833179135,52;27412327692,50;28565171550,94;32973431253,35;35623586501,77;39727222945,46;45964333259,26;51570629197,81;57254340774,03
Gabon;GAB;29199274580,03;29399527403,80;31914848308,04;34140586624,11;36169088370,76;33623700958,88;44025399637,05;48596848106,45;51576945114,23;54611645902,54
Niger;NER;23372915804,26;24586198437,68;25897150477,07;28311897040,12;32566723569,67;35501317683,90;38850574077,52;46573248098,00;49053754855,84;54470927080,20
Rwanda;RWA;20727872754,85;22245840208,44;24012956927,81;26543175894,40;29845483474,68;29854116562,14;36505744034,40;42300132773,99;47437550805,90;52904129982,21
Botswana;BWA;31162419272,12;36266220081,59;35589435395,48;36293825138,63;37220081094,05;36179872025,33;43131382324,77;48741318383,35;52115142882,63;51779485612,78
Papua New Guinea;PNG;32085428349,07;34168434981,41;36009673547,90;36731754152,09;39010933635,62;38277259227,68;39820324163,12;45094122323,67;48497108860,94;51703809951,01
Trinidad and Tobago;TTO;40254444954,36;38222751751,57;38670271303,44;38982018420,55;40174163569,88;36714254092,02;41607493861,93;45056280789,40;47343724129,56;49288895345,52
Moldova;MDA;26084243383,87;28945251498,72;31001699470,15;32129614587,59;35735831415,94;35646566427,38;40707659297,26;41603848485,70;43618128785,72;44718897540,02
Congo, Rep.;COG;24035779100,75;20973960925,50;23783312191,58;30668141085,69;32125052982,77;27446361623,02;36903988991,09;40118334632,16;42354479275,57;44497676671,90
Malawi;MWI;23972522499,71;24755675039,64;24899003391,06;25268494147,21;27587532191,91;29563756336,02;33831623933,42;36577488742,43;38610812096,72;40266877390,59
Mauritius;MUS;25271892595,16;27385974517,63;28581043971,04;29194635198,91;30417972159,65;26999298652,96;28793361692,74;33527657824,49;36473533933,32;39108930779,91
Malta;MLT;17048724114,92;18634286620,24;21376244915,88;23313166925,73;25896969589,95;25767995596,36;29431961612,76;32124230942,01;34864378137,20;38690348766,41
Mauritania;MRT;15775044970,72;19136599346,54;22539620070,57;23550299208,18;25064433257,73;26408154182,63;27635403694,63;31617666980,55;34886849205,09;37588430731,73
Haiti;HTI;31841589929,64;34719284269,45;36124687052,15;35046384798,49;35947134169,55;34891691692,71;35658760079,88;37558509107,27;38184773698,67;37477453598,13
Namibia;NAM;24849167508,21;24880312287,18;24787610435,46;25396298133,51;25469883811,20;25525198217,63;27287889637,59;30811603933,06;33338484196,99;35411935194,18
Jamaica;JAM;25182384150,21;26411115826,85;27651386383,77;28300462384,30;28468528877,04;25451633088,19;27176946493,57;30634742220,35;32563744657,73;33111437467,45
Iceland;ISL;16280817030,14;17939410954,59;19106258173,12;20174853794,36;21822649369,37;20447442733,99;22951036648,86;28049039292,07;30156746997,15;31664276580,46
Togo;TGO;14404273148,10;15189500689,04;15997658425,32;17071648256,69;18743273071,27;20432437140,65;22881375789,02;25924518421,08;28578384313,65;30820719452,21
Somalia;SOM;18520522054,21;21071187605,58;23819083389,06;23976304650,27;24817512990,24;24216384566,55;24049850383,67;26467106675,80;28575608117,45;30429157389,61
Sierra Leone;SLE;18016747683,94;18985500633,47;18458970768,55;19947639782,94;20916106901,88;21532775187,77;23085417016,37;26045397865,60;28523326333,47;30381570304,57
Kosovo;XKX;15584664246,44;16277272490,60;16801441908,43;18004535069,95;19429240274,56;18854775198,35;22080260569,63;24666524708,69;26593569203,42;28438508914,52
West Bank and Gaza;PSE;24638355542,62;26474303888,94;27203915977,43;28400606241,97;30494072108,71;28609644862,70;27878126229,88;31085036506,33;30736464884,97;23119472384,42
Montenegro;MNE;10164312427,43;11325280166,46;12249532194,12;13385900703,37;15015922356,56;13050163141,90;14902552328,59;17207930165,98;19077865681,63;20823256231,78
Bahamas, The;BHS;12384087314,25;12528462792,39;13386673556,91;13834540972,57;14254082379,94;10769304826,42;12313201284,25;14625921166,60;15614176109,96;16532024282,48
Fiji;FJI;10778358104,43;11015803386,24;11778089335,18;12130548808,68;12094688035,26;10279861871,07;9795237652,40;12570554288,78;14002772365,94;14890504165,01
Eswatini;SWZ;9592033992,45;9757468696,69;9944607527,38;9979139798,06;10911800832,59;11089502959,42;12000822909,81;13000358552,00;13932070260,58;14645762517,37
Maldives;MDV;7653295112,38;8320672192,78;9059366711,74;10360598102,11;11255471307,33;6741118651,23;9834087308,93;11991813788,73;13010501267,78;14009213969,33
Suriname;SUR;9622189492,37;8507962995,53;10430160138,12;10704591610,35;11976970718,45;10376871438,02;11405269573,36;12512408102,71;13291848753,16;13999818895,38
Burundi;BDI;8809630118,71;8676714933,88;8759744160,76;8935565006,19;9549333185,98;9923498550,19;10847771568,53;11836036574,13;12588790450,84;13343073380,48
Liberia;LBR;6245654129,68;7087452920,22;8073192528,52;8899159431,28;9580659050,43;8545642458,19;8095196890,78;9089317746,93;9857427644,16;10579672532,06
Gambia, The;GMB;4427516234,00;4596488156,17;4775616329,45;5465023570,59;5949796066,18;6366827515,11;7155630814,36;8086871862,08;8779798182,33;9508853052,23
Bermuda;BMU;4819676018,15;5102072630,23;5447424722,85;5488075615,46;5832740627,90;5481895565,20;5968282122,23;6807865902,97;7399642886,20;7738130438,59
Lesotho;LSO;6386751308,41;6268088273,65;5649078944,01;5747871432,63;5674505764,44;5721443976,34;5755132494,47;6312660804,57;6659272958,63;7008693666,19
Guinea-Bissau;GNB;3090468072,91;3342056307,08;3907712651,79;3955763485,57;4401364261,13;4651372626,07;5113853513,57;5784423379,21;6260059859,57;6720047738,84
